Date,Region,Product,Category,Sales,Units,Profit,Customer Satisfaction
2024-01-01,North,Laptop Pro,Electronics,2499.99,5,749.99,4.8
2024-01-02,South,Office Chair,Furniture,299.99,10,89.99,4.5
2024-01-03,East,Wireless Mouse,Accessories,49.99,20,19.99,4.7
2024-01-04,West,Standing Desk,Furniture,699.99,3,209.99,4.9
2024-01-05,North,Monitor 4K,Electronics,599.99,8,179.99,4.6
2024-01-06,South,Keyboard,Accessories,129.99,15,38.99,4.4
2024-01-07,East,Laptop Basic,Electronics,999.99,12,299.99,4.3
2024-01-08,West,Desk Lamp,Accessories,79.99,25,23.99,4.7
2024-01-09,North,Filing Cabinet,Furniture,199.99,6,59.99,4.2
2024-01-10,South,Tablet Pro,Electronics,799.99,7,239.99,4.8
2024-01-11,East,Ergonomic Chair,Furniture,499.99,4,149.99,4.9
2024-01-12,West,Wireless Headset,Electronics,159.99,18,47.99,4.6
2024-01-13,North,Desk Mat,Accessories,29.99,30,8.99,4.5
2024-01-14,South,Desktop PC,Electronics,1499.99,3,449.99,4.7
2024-01-15,East,Bookshelf,Furniture,249.99,5,74.99,4.4
